source_file,row_count,valid_timestamp_rows,invalid_timestamp_rows,fractional_timestamp_strings,minimum_valid_timestamp,maximum_valid_timestamp,occupied_seconds,timeline_span_seconds,missing_seconds,second_coverage_rate,singleton_seconds,tied_seconds,rows_in_tied_seconds,tied_row_rate,mean_flows_per_occupied_second,median_flows_per_occupied_second,p90_flows_per_occupied_second,p95_flows_per_occupied_second,p99_flows_per_occupied_second,maximum_flows_per_second,gap_count_gt_1_second,maximum_gap_seconds,median_observed_delta_seconds
02-14-2018.csv,1048575,1048570,5,0,2018-02-14T01:00:00,2018-02-14T12:59:59,32038,43200,11162,0.7416203703703703,790,31248,1047780,0.9992465929790095,32.728946875585244,26.0,67.0,87.0,133.0,292,443,10652,1.0
02-15-2018.csv,1048575,1048575,0,0,2018-02-15T01:00:00,2018-02-15T12:59:59,33862,43200,9338,0.7838425925925926,248,33614,1048327,0.9997634885439763,30.966127222255036,22.0,64.0,86.0,150.0,728,224,8923,1.0
02-16-2018.csv,1048575,1048574,1,0,2018-02-16T01:00:32,2018-02-16T12:58:24,3177,43073,39896,0.07375850300652381,134,3043,1048440,0.9998722073978565,330.0516210261253,40.0,80.0,4379.199999999998,4783.959999999999,8403,217,23891,1.0
02-20-2018.csv,7948748,7948748,0,0,2018-02-20T01:00:00,2018-02-20T12:59:59,38478,43200,4722,0.8906944444444445,2290,36188,7946458,0.999711904314994,206.57903217422944,206.0,365.0,420.0,526.0,850,2114,23,1.0
02-21-2018.csv,1048575,1048575,0,0,2018-02-21T01:55:46,2018-02-21T10:43:21,3256,31656,28400,0.10285569876168815,764,2492,1047811,0.999271392127411,322.0439189189189,3.0,800.0,801.0,803.0,815,628,21565,1.0
02-22-2018.csv,1048575,1048566,9,0,2018-02-22T01:00:00,2018-02-22T12:59:59,32882,43200,10318,0.7611574074074074,11,32871,1048555,0.9999895094824741,31.88875372544249,23.0,65.0,91.0,152.0,449,5,10314,1.0
02-23-2018.csv,1048575,1048575,0,0,2018-02-23T01:00:00,2018-02-23T12:59:59,33325,43200,9875,0.7714120370370371,17,33308,1048558,0.9999837875211597,31.46511627906977,23.0,63.0,87.0,140.0,387,11,9863,1.0
02-28-2018.csv,613104,613071,33,0,2018-02-28T01:00:00,2018-02-28T12:59:59,31854,43200,11346,0.7373611111111111,1103,30751,611968,0.9982008609117051,19.246279902053118,10.0,39.0,66.0,140.0,3055,1503,9104,1.0
03-01-2018.csv,331125,331100,25,0,2018-03-01T01:00:00,2018-03-01T12:59:59,32068,43200,11132,0.7423148148148148,2967,29101,328133,0.991038961038961,10.324934514157416,5.0,21.0,35.0,70.0,2050,1365,9060,1.0
03-02-2018.csv,1048575,1048575,0,0,2018-03-02T01:00:00,2018-03-02T12:59:59,31425,43200,11775,0.7274305555555556,7,31418,1048568,0.9999933242734187,33.36754176610979,25.0,64.0,84.0,140.0,362,2,11775,1.0
