feature_index,feature_name,train_materialized_seconds,finite_train_seconds,missing_train_seconds,missing_rate,impute_mean,population_std_after_imputation,applied_scale,zero_variance,verified_standardized_train_mean,verified_standardized_second_moment
0,Dst Port,290729,177021,113708,0.3911133736228584,9028.690996395902,5513.710017099687,5513.710017099687,False,-9.697806464081937e-16,1.0000000000000189
1,Protocol,290729,177021,113708,0.3911133736228584,8.180403287607604,1.8571718332281992,1.8571718332281992,False,7.445412704682262e-16,0.9999999999998979
2,Flow Duration,290729,177021,113708,0.3911133736228584,2680018.6868195264,2382869548.4556227,2382869548.4556227,False,-8.016331956196763e-18,1.0000000000000069
3,Tot Fwd Pkts,290729,177021,113708,0.3911133736228584,504.20767428504104,5583.532355728317,5583.532355728317,False,7.554904067986412e-16,0.9999999999999984
4,Tot Bwd Pkts,290729,177021,113708,0.3911133736228584,7.249917771139538,31.657794390384815,31.657794390384815,False,-1.6892953195497568e-16,0.9999999999999984
5,TotLen Fwd Pkts,290729,177021,113708,0.3911133736228584,16362.824581322186,178701.42556951533,178701.42556951533,False,-5.943816865082477e-17,0.9999999999999994
6,TotLen Bwd Pkts,290729,177021,113708,0.3911133736228584,5788.168767745412,44714.476917976746,44714.476917976746,False,-1.7205785662080858e-16,0.9999999999999972
7,Fwd Pkt Len Max,290729,177021,113708,0.3911133736228584,186.19984482797238,86.21473364417406,86.21473364417406,False,1.4515426449464577e-15,0.9999999999999878
8,Fwd Pkt Len Min,290729,177021,113708,0.3911133736228584,9.681839991542127,13.259932055540645,13.259932055540645,False,-1.0343805507576428e-14,0.9999999999999731
9,Fwd Pkt Len Mean,290729,177021,113708,0.3911133736228584,46.04785226987907,20.125773634691328,20.125773634691328,False,1.2284539922142503e-15,1.0000000000000002
10,Fwd Pkt Len Std,290729,177021,113708,0.3911133736228584,59.664874136539005,29.052784153150295,29.052784153150295,False,-1.1918916976823285e-15,0.9999999999999916
11,Bwd Pkt Len Max,290729,177021,113708,0.3911133736228584,350.53877382226426,142.46724242739938,142.46724242739938,False,-3.137709639830382e-15,0.999999999999998
12,Bwd Pkt Len Min,290729,177021,113708,0.3911133736228584,20.376529474835227,16.240309738646623,16.240309738646623,False,7.382846211365604e-16,0.9999999999997217
13,Bwd Pkt Len Mean,290729,177021,113708,0.3911133736228584,100.5033200573162,43.82418062080592,43.82418062080592,False,-1.665050803389552e-15,1.000000000000005
14,Bwd Pkt Len Std,290729,177021,113708,0.3911133736228584,125.542922354254,52.06067726675696,52.06067726675696,False,2.5495846026537997e-15,0.999999999999988
15,Flow Byts/s,290729,177013,113716,0.39114089065762275,271643.8890845871,770564.276608281,770564.276608281,False,-1.0792720097123446e-16,0.9999999999999996
16,Flow Pkts/s,290729,177013,113716,0.39114089065762275,70574.29413945045,129750.55322423918,129750.55322423918,False,4.379654532166036e-17,0.9999999999999996
17,Flow IAT Mean,290729,177021,113708,0.3911133736228584,4563649.312335669,637364355.5898767,637364355.5898767,False,-2.9328043742183277e-18,0.9999999999999958
18,Flow IAT Std,290729,177021,113708,0.3911133736228584,7750560.32172035,1132009798.860671,1132009798.860671,False,1.2904339246560642e-17,1.0000000000000078
19,Flow IAT Max,290729,177021,113708,0.3911133736228584,18339429.32281293,1973791631.92309,1973791631.92309,False,1.415078110560343e-17,1.000000000000005
20,Flow IAT Min,290729,177021,113708,0.3911133736228584,-8479729.831314495,2517052610.00404,2517052610.00404,False,2.189827266083018e-17,1.0000000000000069
21,Fwd IAT Tot,290729,177021,113708,0.3911133736228584,2284543.5096473037,2382868371.8117967,2382868371.8117967,False,-7.820811664582207e-19,1.000000000000001
22,Fwd IAT Mean,290729,177021,113708,0.3911133736228584,4845401.770886394,637365092.0627797,637365092.0627797,False,6.452169623280321e-18,1.0000000000000058
23,Fwd IAT Std,290729,177021,113708,0.3911133736228584,7790611.049756696,1132009743.9637058,1132009743.9637058,False,1.1437937059451478e-17,1.0000000000000018
24,Fwd IAT Max,290729,177021,113708,0.3911133736228584,18050540.060309548,1973792127.976424,1973792127.976424,False,-9.873774726535037e-18,1.0000000000000002
25,Fwd IAT Min,290729,177021,113708,0.3911133736228584,-8378987.856340802,2517053114.6530414,2517053114.6530414,False,1.3686420413018864e-17,1.0
26,Bwd IAT Tot,290729,177021,113708,0.3911133736228584,6590705.648195989,6254321.910566255,6254321.910566255,False,-2.0959775261080315e-15,1.000000000000007
27,Bwd IAT Mean,290729,177021,113708,0.3911133736228584,852238.6237644533,1756250.72878125,1756250.72878125,False,2.502659732666306e-16,1.0000000000000047
28,Bwd IAT Std,290729,177021,113708,0.3911133736228584,778742.2975998077,787040.2091404038,787040.2091404038,False,-3.4912103270694974e-15,0.9999999999999756
29,Bwd IAT Max,290729,177021,113708,0.3911133736228584,2373424.1588001796,2616779.0320247165,2616779.0320247165,False,-8.54032633772377e-16,1.0000000000000022
30,Bwd IAT Min,290729,177021,113708,0.3911133736228584,349284.0586107063,1648415.09210573,1648415.09210573,False,1.0323471397248513e-16,0.9999999999999972
31,Fwd PSH Flags,290729,177021,113708,0.3911133736228584,0.044049303655564365,0.05960314805194996,0.05960314805194996,False,1.9325225623182634e-14,1.0000000000004101
32,Bwd PSH Flags,290729,177021,113708,0.3911133736228584,0.0,0.0,1.0,True,0.0,0.0
33,Fwd URG Flags,290729,177021,113708,0.3911133736228584,0.0,0.0,1.0,True,0.0,0.0
34,Bwd URG Flags,290729,177021,113708,0.3911133736228584,0.0,0.0,1.0,True,0.0,0.0
35,Fwd Header Len,290729,177021,113708,0.3911133736228584,4110.387135618677,44664.74634350911,44664.74634350911,False,-4.0981053122410766e-16,1.000000000000002
36,Bwd Header Len,290729,177021,113708,0.3911133736228584,153.32941154049968,633.9913140562559,633.9913140562559,False,1.1965841846810777e-16,1.0000000000000078
37,Fwd Pkts/s,290729,177021,113708,0.3911133736228584,48113.19356674427,77783.0199070809,77783.0199070809,False,-3.75398959899946e-17,1.0000000000000038
38,Bwd Pkts/s,290729,177021,113708,0.3911133736228584,21974.865746038184,60907.37340907597,60907.37340907597,False,-1.0010638930665225e-16,1.000000000000003
39,Pkt Len Min,290729,177021,113708,0.3911133736228584,9.539815880790997,13.093125717446473,13.093125717446473,False,1.4994060123337007e-14,0.9999999999998574
40,Pkt Len Max,290729,177021,113708,0.3911133736228584,361.2064957657729,142.4063675506941,142.4063675506941,False,-2.710693322944193e-15,1.0000000000000087
41,Pkt Len Mean,290729,177021,113708,0.3911133736228584,70.28835623871124,30.010073665607315,30.010073665607315,False,1.60551487459292e-15,1.0000000000000018
42,Pkt Len Std,290729,177021,113708,0.3911133736228584,106.10957195094427,41.17917397323613,41.17917397323613,False,2.3689238532019505e-15,1.0000000000000082
43,Pkt Len Var,290729,177021,113708,0.3911133736228584,34002.82502037142,24278.953743683134,24278.953743683134,False,1.2001035499301397e-15,0.9999999999999832
44,FIN Flag Cnt,290729,177021,113708,0.3911133736228584,0.005219326642684598,0.016514276727018634,0.016514276727018634,False,-1.0636890424706646e-14,1.000000000000043
