source_file,raw_rows_read,rows_successfully_hashed,authorized_raw_match_rows,valid_timestamp_match_rows,invalid_timestamp_match_rows,unique_authorized_hashes_observed
02-14-2018.csv,1048575,1044751,263718,263718,0,21455
02-15-2018.csv,1048575,1040548,111215,111215,0,38269
02-16-2018.csv,1048575,1048574,187531,187531,0,17181
02-20-2018.csv,7948748,7889295,8190,8190,0,476
02-21-2018.csv,1048575,1048575,127409,127409,0,30228
02-22-2018.csv,1048575,1042965,97297,97297,0,22141
02-23-2018.csv,1048575,1042867,96548,96548,0,22997
02-28-2018.csv,613104,606902,59979,59979,0,23118
03-01-2018.csv,331125,328181,46159,46159,0,29960
03-02-2018.csv,1048575,1044525,178322,178322,0,27313
