source_file,expected_date,observed_date,row_count,is_expected_date
02-14-2018.csv,2018-02-14,1970-01-05,1,False
02-14-2018.csv,2018-02-14,1970-01-08,1,False
02-14-2018.csv,2018-02-14,1970-01-12,3,False
02-14-2018.csv,2018-02-14,2018-02-14,1048570,True
02-15-2018.csv,2018-02-15,2018-02-15,1048575,True
02-16-2018.csv,2018-02-16,2018-02-16,1048574,True
02-20-2018.csv,2018-02-20,2018-02-20,7948748,True
02-21-2018.csv,2018-02-21,2018-02-21,1048575,True
02-22-2018.csv,2018-02-22,1970-01-10,1,False
02-22-2018.csv,2018-02-22,1970-01-11,3,False
02-22-2018.csv,2018-02-22,1970-01-12,5,False
02-22-2018.csv,2018-02-22,2018-02-22,1048566,True
02-23-2018.csv,2018-02-23,2018-02-23,1048575,True
02-28-2018.csv,2018-02-28,2018-02-28,613071,True
03-01-2018.csv,2018-03-01,2018-03-01,331100,True
03-02-2018.csv,2018-03-02,2018-03-02,1048575,True
