source_file,source_path,expected_date,timestamp_column,row_count,nonempty_timestamp_count,parseable_timestamp_count,unparseable_nonempty_count,parse_rate_all_rows,parse_rate_nonempty,expected_date_count,unexpected_date_count,expected_date_rate,minimum_timestamp,maximum_timestamp,unique_timestamp_count,duplicate_timestamp_rows,duplicate_timestamp_rate,adjacent_valid_pairs,row_order_reversals,row_order_reversal_rate,adjacent_equal_timestamps,adjacent_equal_rate,maximum_reversal_seconds
02-14-2018.csv,/kaggle/input/datasets/solarmainframe/ids-intrusion-csv/02-14-2018.csv,2018-02-14,Timestamp,1048575,1048575,1048575,0,1.0,1.0,1048570,5,0.9999952316238705,1970-01-05T03:01:17,2018-02-14T12:59:59,32043,1016532,0.969441384736428,1048574,289765,0.27634196537392686,392042,0.373881099474143,1518248086.0
02-15-2018.csv,/kaggle/input/datasets/solarmainframe/ids-intrusion-csv/02-15-2018.csv,2018-02-15,Timestamp,1048575,1048575,1048575,0,1.0,1.0,1048575,0,1.0,2018-02-15T01:00:00,2018-02-15T12:59:59,33862,1014713,0.9677066495005126,1048574,382967,0.3652264885453959,178932,0.1706431782592359,43191.0
02-16-2018.csv,/kaggle/input/datasets/solarmainframe/ids-intrusion-csv/02-16-2018.csv,2018-02-16,Timestamp,1048575,1048575,1048574,1,0.9999990463247741,0.9999990463247741,1048574,0,1.0,2018-02-16T01:00:32,2018-02-16T12:58:24,3177,1045397,0.996970170917837,1048573,268941,0.2564828581319565,506116,0.48267121125567797,42961.0
02-20-2018.csv,/kaggle/input/datasets/solarmainframe/ids-intrusion-csv/02-20-2018.csv,2018-02-20,Timestamp,7948748,7948748,7948748,0,1.0,1.0,7948748,0,1.0,2018-02-20T01:00:00,2018-02-20T12:59:59,38478,7910270,0.9951592376560434,7948747,2977911,0.37463904688374156,1279160,0.16092599248661454,43199.0
02-21-2018.csv,/kaggle/input/datasets/solarmainframe/ids-intrusion-csv/02-21-2018.csv,2018-02-21,Timestamp,1048575,1048575,1048575,0,1.0,1.0,1048575,0,1.0,2018-02-21T01:55:46,2018-02-21T10:43:21,3256,1045319,0.9968948334644637,1048574,4056,0.003868110405178843,1038336,0.9902362637257838,27324.0
02-22-2018.csv,/kaggle/input/datasets/solarmainframe/ids-intrusion-csv/02-22-2018.csv,2018-02-22,Timestamp,1048575,1048575,1048575,0,1.0,1.0,1048566,9,0.9999914169229669,1970-01-10T03:04:26,2018-02-22T12:59:59,32891,1015684,0.9686326681448633,1048574,380319,0.36270115413885906,146676,0.13988140083580178,1518505878.0
02-23-2018.csv,/kaggle/input/datasets/solarmainframe/ids-intrusion-csv/02-23-2018.csv,2018-02-23,Timestamp,1048575,1048575,1048575,0,1.0,1.0,1048575,0,1.0,2018-02-23T01:00:00,2018-02-23T12:59:59,33325,1015250,0.9682187730968219,1048574,378363,0.3608357636180184,148938,0.14203861625407457,43196.0
02-28-2018.csv,/kaggle/input/datasets/solarmainframe/ids-intrusion-csv/02-28-2018.csv,2018-02-28,Timestamp,613104,613104,613071,33,0.9999461755265012,0.9999461755265012,613071,0,1.0,2018-02-28T01:00:00,2018-02-28T12:59:59,31854,581217,0.948041907054811,613037,237515,0.38743990982599746,86014,0.1403080075101503,43197.0
03-01-2018.csv,/kaggle/input/datasets/solarmainframe/ids-intrusion-csv/03-01-2018.csv,2018-03-01,Timestamp,331125,331125,331100,25,0.9999244998112495,0.9999244998112495,331100,0,1.0,2018-03-01T01:00:00,2018-03-01T12:59:59,32068,299032,0.9031470854726669,331087,37818,0.11422375387737967,217761,0.6577153437012024,43182.0
03-02-2018.csv,/kaggle/input/datasets/solarmainframe/ids-intrusion-csv/03-02-2018.csv,2018-03-02,Timestamp,1048575,1048575,1048575,0,1.0,1.0,1048575,0,1.0,2018-03-02T01:00:00,2018-03-02T12:59:59,31425,1017150,0.9700307560260353,1048574,292106,0.27857452120689624,276706,0.2638879087217497,43199.0
