disagreement_case_id,model,model_display,explanation_seed,rank,feature_index,feature_name,condition,raw_feature_value,weight,absolute_weight,direction,y_true,attack_category,model_probability_attack,model_threshold,model_prediction,model_outcome
DISAGREE_01,lightgbm,LightGBM,130500,1,69,Fwd Seg Size Min,Fwd Seg Size Min <= 20.00,20.0,-0.11597670293839368,0.11597670293839368,supports_benign,0,Benign,0.27170970779733533,0.26,1,FP
DISAGREE_01,lightgbm,LightGBM,130500,2,51,ECE Flag Cnt,ECE Flag Cnt > 0.00,1.0,0.10911310188027008,0.10911310188027008,supports_attack,0,Benign,0.27170970779733533,0.26,1,FP
DISAGREE_01,lightgbm,LightGBM,130500,3,50,CWE Flag Count,CWE Flag Count <= 0.00,0.0,-0.09218767210401722,0.09218767210401722,supports_benign,0,Benign,0.27170970779733533,0.26,1,FP
DISAGREE_01,lightgbm,LightGBM,130500,4,46,RST Flag Cnt,RST Flag Cnt > 0.00,1.0,0.09146718462717994,0.09146718462717994,supports_attack,0,Benign,0.27170970779733533,0.26,1,FP
DISAGREE_01,lightgbm,LightGBM,130500,5,35,Fwd Header Len,Fwd Header Len > 136.00,192.0,0.06934323393575834,0.06934323393575834,supports_attack,0,Benign,0.27170970779733533,0.26,1,FP
DISAGREE_01,lightgbm,LightGBM,130500,6,19,Flow IAT Max,Flow IAT Max > 1964958.75,5859675.0,-0.06303938076545938,0.06303938076545938,supports_benign,0,Benign,0.27170970779733533,0.26,1,FP
DISAGREE_01,lightgbm,LightGBM,130500,7,0,Dst Port,123.00 < Dst Port <= 8080.00,443.0,-0.03687844397449959,0.03687844397449959,supports_benign,0,Benign,0.27170970779733533,0.26,1,FP
DISAGREE_01,lightgbm,LightGBM,130500,8,53,Pkt Size Avg,Pkt Size Avg > 161.25,367.625,0.036452757406720486,0.036452757406720486,supports_attack,0,Benign,0.27170970779733533,0.26,1,FP
DISAGREE_01,lightgbm,LightGBM,130500,9,63,Subflow Fwd Byts,47.00 < Subflow Fwd Byts <= 777.00,351.0,-0.03336546098958668,0.03336546098958668,supports_benign,0,Benign,0.27170970779733533,0.26,1,FP
DISAGREE_01,lightgbm,LightGBM,130500,10,11,Bwd Pkt Len Max,Bwd Pkt Len Max > 351.00,1460.0,-0.0281318720423578,0.0281318720423578,supports_benign,0,Benign,0.27170970779733533,0.26,1,FP
DISAGREE_01,lightgbm,LightGBM,130500,11,5,TotLen Fwd Pkts,47.00 < TotLen Fwd Pkts <= 777.00,351.0,-0.027410979160438737,0.027410979160438737,supports_benign,0,Benign,0.27170970779733533,0.26,1,FP
DISAGREE_01,lightgbm,LightGBM,130500,12,6,TotLen Bwd Pkts,TotLen Bwd Pkts > 364.25,5531.0,-0.026886217252997262,0.026886217252997262,supports_benign,0,Benign,0.27170970779733533,0.26,1,FP
DISAGREE_01,lightgbm,LightGBM,130500,13,40,Pkt Len Max,Pkt Len Max > 935.00,1460.0,-0.02527089735112338,0.02527089735112338,supports_benign,0,Benign,0.27170970779733533,0.26,1,FP
DISAGREE_01,lightgbm,LightGBM,130500,14,31,Fwd PSH Flags,Fwd PSH Flags <= 0.00,0.0,-0.025099043829766913,0.025099043829766913,supports_benign,0,Benign,0.27170970779733533,0.26,1,FP
DISAGREE_01,lightgbm,LightGBM,130500,15,44,FIN Flag Cnt,FIN Flag Cnt <= 0.00,0.0,0.02131651158536574,0.02131651158536574,supports_attack,0,Benign,0.27170970779733533,0.26,1,FP
DISAGREE_01,xgboost,XGBoost,130500,1,46,RST Flag Cnt,RST Flag Cnt > 0.00,1.0,0.1707661904986941,0.1707661904986941,supports_attack,0,Benign,0.47803428769111633,0.51,0,TN
DISAGREE_01,xgboost,XGBoost,130500,2,0,Dst Port,123.00 < Dst Port <= 8080.00,443.0,-0.08498296745376156,0.08498296745376156,supports_benign,0,Benign,0.47803428769111633,0.51,0,TN
DISAGREE_01,xgboost,XGBoost,130500,3,69,Fwd Seg Size Min,Fwd Seg Size Min <= 20.00,20.0,-0.06764159822268404,0.06764159822268404,supports_benign,0,Benign,0.47803428769111633,0.51,0,TN
DISAGREE_01,xgboost,XGBoost,130500,4,11,Bwd Pkt Len Max,Bwd Pkt Len Max > 351.00,1460.0,-0.066188263291695,0.066188263291695,supports_benign,0,Benign,0.47803428769111633,0.51,0,TN
DISAGREE_01,xgboost,XGBoost,130500,5,51,ECE Flag Cnt,ECE Flag Cnt > 0.00,1.0,0.04752597626918989,0.04752597626918989,supports_attack,0,Benign,0.47803428769111633,0.51,0,TN
DISAGREE_01,xgboost,XGBoost,130500,6,68,Fwd Act Data Pkts,Fwd Act Data Pkts > 1.00,3.0,0.04578686986382752,0.04578686986382752,supports_attack,0,Benign,0.47803428769111633,0.51,0,TN
DISAGREE_01,xgboost,XGBoost,130500,7,53,Pkt Size Avg,Pkt Size Avg > 161.25,367.625,0.044092131788083765,0.044092131788083765,supports_attack,0,Benign,0.47803428769111633,0.51,0,TN
DISAGREE_01,xgboost,XGBoost,130500,8,44,FIN Flag Cnt,FIN Flag Cnt <= 0.00,0.0,0.0436666458151607,0.0436666458151607,supports_attack,0,Benign,0.47803428769111633,0.51,0,TN
DISAGREE_01,xgboost,XGBoost,130500,9,5,TotLen Fwd Pkts,47.00 < TotLen Fwd Pkts <= 777.00,351.0,-0.04292635077190891,0.04292635077190891,supports_benign,0,Benign,0.47803428769111633,0.51,0,TN
