disagreement_case_id,replicate_index,explanation_seed,model,model_display,y_true,attack_category,threshold,model_probability,model_prediction,model_outcome,local_prediction,local_prediction_clipped,local_decision,decision_agreement,local_r2,fidelity_gap,num_samples,num_terms,elapsed_seconds,top5_feature_indices,top10_feature_indices,top15_feature_indices
DISAGREE_01,1,137000,lightgbm,LightGBM,0,Benign,0.26,0.27170970779733533,1,FP,0.575062127841685,0.575062127841685,1,True,0.3818836333309037,0.30335242004434965,10000,15,0.1590392759999304,"[66, 7, 20, 0, 40]","[66, 7, 20, 0, 40, 25, 37, 2, 39, 11]","[66, 7, 20, 0, 40, 25, 37, 2, 39, 11, 51, 55, 42, 14, 43]"
DISAGREE_01,2,138000,lightgbm,LightGBM,0,Benign,0.26,0.27170970779733533,1,FP,0.577146127600439,0.577146127600439,1,True,0.3757424222967636,0.3054364198031037,10000,15,0.15365761299972291,"[66, 7, 20, 37, 25]","[66, 7, 20, 37, 25, 40, 0, 48, 42, 55]","[66, 7, 20, 37, 25, 40, 0, 48, 42, 55, 11, 43, 46, 13, 53]"
DISAGREE_01,3,139000,lightgbm,LightGBM,0,Benign,0.26,0.27170970779733533,1,FP,0.574541235393748,0.574541235393748,1,True,0.3738899482618413,0.3028315275964127,10000,15,0.17954670200015244,"[66, 7, 20, 40, 25]","[66, 7, 20, 40, 25, 37, 0, 48, 42, 14]","[66, 7, 20, 40, 25, 37, 0, 48, 42, 14, 51, 13, 11, 55, 43]"
DISAGREE_01,4,140000,lightgbm,LightGBM,0,Benign,0.26,0.27170970779733533,1,FP,0.5729978188395339,0.5729978188395339,1,True,0.380312949872315,0.3012881110421986,10000,15,0.16612553200002367,"[66, 7, 20, 40, 37]","[66, 7, 20, 40, 37, 25, 0, 11, 52, 42]","[66, 7, 20, 40, 37, 25, 0, 11, 52, 42, 55, 53, 14, 13, 51]"
DISAGREE_01,5,141000,lightgbm,LightGBM,0,Benign,0.26,0.27170970779733533,1,FP,0.5759792905710115,0.5759792905710115,1,True,0.3764921718881592,0.30426958277367616,10000,15,0.17086536499982685,"[66, 7, 20, 40, 37]","[66, 7, 20, 40, 37, 25, 0, 2, 42, 11]","[66, 7, 20, 40, 37, 25, 0, 2, 42, 11, 41, 47, 55, 46, 13]"
DISAGREE_01,1,137000,xgboost,XGBoost,0,Benign,0.51,0.47803428769111633,0,TN,0.39867807927689347,0.39867807927689347,0,True,0.31475042680442344,0.07935620841422286,10000,15,0.18770383499986565,"[46, 66, 30, 51, 11]","[46, 66, 30, 51, 11, 0, 20, 69, 23, 42]","[46, 66, 30, 51, 11, 0, 20, 69, 23, 42, 47, 13, 14, 55, 41]"
DISAGREE_01,2,138000,xgboost,XGBoost,0,Benign,0.51,0.47803428769111633,0,TN,0.4010298842212839,0.4010298842212839,0,True,0.34642147040534776,0.07700440346983245,10000,15,0.19781771199996,"[46, 66, 30, 51, 11]","[46, 66, 30, 51, 11, 7, 0, 20, 23, 42]","[46, 66, 30, 51, 11, 7, 0, 20, 23, 42, 14, 43, 40, 13, 41]"
DISAGREE_01,3,139000,xgboost,XGBoost,0,Benign,0.51,0.47803428769111633,0,TN,0.3966803742811072,0.3966803742811072,0,True,0.3106298946865562,0.08135391341000914,10000,15,0.20392242500020075,"[46, 66, 51, 11, 7]","[46, 66, 51, 11, 7, 20, 0, 38, 42, 14]","[46, 66, 51, 11, 7, 20, 0, 38, 42, 14, 47, 43, 40, 41, 13]"
DISAGREE_01,4,140000,xgboost,XGBoost,0,Benign,0.51,0.47803428769111633,0,TN,0.39538763962057766,0.39538763962057766,0,True,0.3035606471833163,0.08264664807053868,10000,15,0.20717301600006977,"[46, 66, 51, 11, 23]","[46, 66, 51, 11, 23, 0, 42, 14, 40, 41]","[46, 66, 51, 11, 23, 0, 42, 14, 40, 41, 47, 53, 13, 43, 55]"
DISAGREE_01,5,141000,xgboost,XGBoost,0,Benign,0.51,0.47803428769111633,0,TN,0.39514830359228575,0.39514830359228575,0,True,0.30202591771693943,0.08288598409883058,10000,15,0.20295511800031818,"[46, 66, 51, 11, 7]","[46, 66, 51, 11, 7, 0, 69, 55, 42, 41]","[46, 66, 51, 11, 7, 0, 69, 55, 42, 41, 14, 40, 43, 53, 13]"
DISAGREE_02,1,137001,lightgbm,LightGBM,0,Benign,0.26,0.26787340135836474,1,FP,0.3545159114414954,0.3545159114414954,1,True,0.2934725211234184,0.08664251008313067,10000,15,0.16562145099987902,"[66, 7, 37, 51, 0]","[66, 7, 37, 51, 0, 24, 46, 76, 23, 74]","[66, 7, 37, 51, 0, 24, 46, 76, 23, 74, 21, 54, 9, 53, 75]"
DISAGREE_02,2,138001,lightgbm,LightGBM,0,Benign,0.26,0.26787340135836474,1,FP,0.35166350375208516,0.35166350375208516,1,True,0.29717179465679333,0.08379010239372042,10000,15,0.16693393500008824,"[66, 7, 37, 51, 24]","[66, 7, 37, 51, 24, 0, 46, 76, 73, 23]","[66, 7, 37, 51, 24, 0, 46, 76, 73, 23, 22, 17, 53, 8, 39]"
DISAGREE_02,3,139001,lightgbm,LightGBM,0,Benign,0.26,0.26787340135836474,1,FP,0.3525275378012317,0.3525275378012317,1,True,0.2966157975210506,0.08465413644286696,10000,15,0.1534825600001568,"[66, 7, 37, 51, 24]","[66, 7, 37, 51, 24, 0, 76, 46, 23, 70]","[66, 7, 37, 51, 24, 0, 76, 46, 23, 70, 19, 54, 8, 75, 39]"
DISAGREE_02,4,140001,lightgbm,LightGBM,0,Benign,0.26,0.26787340135836474,1,FP,0.35230184914143414,0.35230184914143414,1,True,0.28379590190983295,0.0844284477830694,10000,15,0.1614670560002196,"[66, 7, 37, 51, 0]","[66, 7, 37, 51, 0, 76, 24, 46, 23, 22]","[66, 7, 37, 51, 0, 76, 24, 46, 23, 22, 73, 74, 75, 53, 54]"
DISAGREE_02,5,141001,lightgbm,LightGBM,0,Benign,0.26,0.26787340135836474,1,FP,0.352602618120722,0.352602618120722,1,True,0.30539575258671214,0.08472921676235728,10000,15,0.1672900710000249,"[66, 7, 37, 51, 0]","[66, 7, 37, 51, 0, 24, 76, 46, 74, 73]","[66, 7, 37, 51, 0, 24, 76, 46, 74, 73, 23, 21, 41, 75, 39]"
DISAGREE_02,1,137001,xgboost,XGBoost,0,Benign,0.51,0.46210363507270813,0,TN,0.333682075391519,0.333682075391519,0,True,0.13269075885831916,0.12842155968118912,10000,15,0.19728521800016097,"[66, 0, 7, 74, 22]","[66, 0, 7, 74, 22, 24, 72, 2, 75, 21]","[66, 0, 7, 74, 22, 24, 72, 2, 75, 21, 76, 23, 53, 8, 39]"
DISAGREE_02,2,138001,xgboost,XGBoost,0,Benign,0.51,0.46210363507270813,0,TN,0.33260138436525616,0.33260138436525616,0,True,0.13414923142871094,0.12950225070745197,10000,15,0.20329392300027394,"[66, 0, 7, 74, 22]","[66, 0, 7, 74, 22, 72, 24, 21, 76, 75]","[66, 0, 7, 74, 22, 72, 24, 21, 76, 75, 2, 19, 53, 54, 8]"
DISAGREE_02,3,139001,xgboost,XGBoost,0,Benign,0.51,0.46210363507270813,0,TN,0.33720731235381163,0.33720731235381163,0,True,0.1404682422844148,0.1248963227188965,10000,15,0.2067817219999597,"[66, 0, 7, 74, 22]","[66, 0, 7, 74, 22, 24, 72, 21, 70, 76]","[66, 0, 7, 74, 22, 24, 72, 21, 70, 76, 2, 75, 19, 53, 39]"
DISAGREE_02,4,140001,xgboost,XGBoost,0,Benign,0.51,0.46210363507270813,0,TN,0.33559601774646264,0.33559601774646264,0,True,0.14057112975500352,0.1265076173262455,10000,15,0.20317792499963616,"[66, 0, 74, 7, 22]","[66, 0, 74, 7, 22, 72, 24, 21, 70, 2]","[66, 0, 74, 7, 22, 72, 24, 21, 70, 2, 76, 75, 19, 23, 53]"
DISAGREE_02,5,141001,xgboost,XGBoost,0,Benign,0.51,0.46210363507270813,0,TN,0.3328705518568472,0.3328705518568472,0,True,0.14844169253868256,0.1292330832158609,10000,15,0.193097095000212,"[66, 0, 7, 74, 24]","[66, 0, 7, 74, 24, 22, 72, 2, 75, 76]","[66, 0, 7, 74, 24, 22, 72, 2, 75, 76, 19, 21, 70, 9, 53]"
DISAGREE_03,1,137002,lightgbm,LightGBM,0,Benign,0.26,0.2629219762567261,1,FP,0.47503601102904536,0.47503601102904536,1,True,0.28148044523448934,0.21211403477231927,10000,15,0.15418601600003967,"[66, 51, 46, 7, 19]","[66, 51, 46, 7, 19, 37, 0, 13, 55, 53]","[66, 51, 46, 7, 19, 37, 0, 13, 55, 53, 42, 39, 48, 69, 12]"
DISAGREE_03,2,138002,lightgbm,LightGBM,0,Benign,0.26,0.2629219762567261,1,FP,0.47472678563362614,0.47472678563362614,1,True,0.2828746483582544,0.21180480937690005,10000,15,0.16142080700001316,"[66, 46, 51, 19, 7]","[66, 46, 51, 19, 7, 37, 0, 13, 53, 42]","[66, 46, 51, 19, 7, 37, 0, 13, 53, 42, 2, 39, 48, 69, 12]"
