file,partition,label,flow_count,flow_rate
02-14-2018.csv,TRAIN,Benign,667626,0.6366983763679279
02-14-2018.csv,TRAIN,FTP-BruteForce,193360,0.18440264168037576
02-14-2018.csv,TRAIN,SSH-Bruteforce,187589,0.17889898195169635
02-15-2018.csv,TRAIN,Benign,996077,0.9499339579906063
02-15-2018.csv,TRAIN,DoS attacks-GoldenEye,41508,0.03958515127673271
02-15-2018.csv,TRAIN,DoS attacks-Slowloris,10990,0.010480890732660992
02-16-2018.csv,TRAIN,Benign,446772,0.42607579436453696
02-16-2018.csv,TRAIN,DoS attacks-Hulk,461912,0.4405144510544797
02-16-2018.csv,TRAIN,DoS attacks-SlowHTTPTest,139890,0.1334097545809833
02-20-2018.csv,TRAIN,Benign,7372557,0.9275117288911411
02-20-2018.csv,TRAIN,DDoS attacks-LOIC-HTTP,576191,0.0724882711088589
02-21-2018.csv,TRAIN,Benign,360833,0.3441174927878311
02-21-2018.csv,TRAIN,DDOS attack-HOIC,686012,0.6542326490713587
02-21-2018.csv,TRAIN,DDOS attack-LOIC-UDP,1730,0.001649858140810147
02-22-2018.csv,TRAIN,Benign,1048213,0.9996547695682235
02-22-2018.csv,TRAIN,Brute Force -Web,249,0.00023746513124955296
02-22-2018.csv,TRAIN,Brute Force -XSS,79,7.534034284624371e-05
02-22-2018.csv,TRAIN,SQL Injection,34,3.242495768066185e-05
02-23-2018.csv,TRAIN,Benign,1048009,0.9994602198221396
02-23-2018.csv,TRAIN,Brute Force -Web,362,0.0003452304317764585
02-23-2018.csv,TRAIN,Brute Force -XSS,151,0.0001440049591111747
02-23-2018.csv,TRAIN,SQL Injection,53,5.0544786972796414e-05
02-28-2018.csv,VALIDATION,Benign,544200,0.8876622772892536
02-28-2018.csv,VALIDATION,Infilteration,68871,0.1123377227107464
