Test Position,True Label,XGBoost Attack Probability,LightGBM Attack Probability
16756,0,0.00028546568,0.0007316645920363687
40116,1,0.99984074,0.9997467426972096
45755,1,0.9998977,0.9997706651919207
1426,0,0.064661674,0.09305585275111623
6432,0,0.09676129,0.07633143364058337
38639,0,0.09931032,0.10770831454782359
16257,1,0.9998977,0.9997706651919207
21299,0,3.418242e-05,8.897771783457077e-05
48687,0,0.20402774,0.177036283691261
55372,1,0.995375,0.9930002452934427
33681,1,0.99549156,0.9918233481725618
22096,1,0.99978787,0.9996165719206686
22369,1,0.99983466,0.9997782293694545
45270,1,0.9991204,0.9985515715030264
6954,0,7.319032e-05,0.00011343477418302593
39643,1,0.9998977,0.9997706651919207
59080,0,0.0042001056,0.004712470429211279
27234,1,0.9996879,0.9997508045330817
36858,0,0.00025516012,0.0006837330893102053
25669,1,0.9998977,0.9997706651919207
56924,1,0.99980515,0.9997068816848089
10306,0,0.3340905,0.3296275396878654
31890,0,0.0013774912,0.001023651749347675
38537,1,0.99934214,0.9990032803773983
15513,0,0.008496058,0.012248266800281828
6454,1,0.99910647,0.9988732664723006
42922,0,0.00011408844,0.0001412271777009327
9239,1,0.2829972,0.21905339685139658
4839,0,0.14301378,0.1055274509131389
8394,0,0.00015645784,0.000258143828073214
44620,0,0.003638496,0.005012135115291528
12572,1,0.9995963,0.9994868707210712
54335,1,0.9994522,0.9993965186868164
9690,0,0.08824723,0.07952988637935439
47825,1,0.9998977,0.9997706651919207
55831,0,2.1570599e-05,5.593205850157987e-05
8634,1,0.32996827,0.25275125416483385
1910,0,0.002961967,0.0033090786140965367
12779,1,0.9992181,0.9994073322072764
34491,1,0.9998977,0.9997706651919207
6811,1,0.99950755,0.9994827745224767
26943,0,0.004713922,0.004712470429211279
14617,0,0.23016353,0.18289162848663534
8271,1,0.21137795,0.19783207925266832
41406,1,0.9998977,0.9997706651919207
41420,0,0.1935326,0.16360035048080118
19121,0,0.0022228528,0.0030603667790774043
11931,0,0.16611698,0.14984072262825754
59094,0,0.16707982,0.3254553126344369
18457,1,0.999566,0.999639934323765
51107,0,0.1940362,0.15449164261994963
288,0,2.6971205e-05,9.975869728589216e-05
1671,0,0.0005703608,0.001071495805575693
41658,1,0.9998977,0.9997706651919207
50127,0,0.0004768578,0.0007664539658337372
32085,1,0.99933916,0.9990738048721938
46776,0,5.817565e-05,7.929596419514777e-05
7359,1,0.9998977,0.9997706651919207
43550,1,0.99883765,0.998379898394733
9165,0,0.056330197,0.08262193825398352
57356,1,0.99940705,0.9991409598672374
19256,1,0.9998771,0.9997257920616716
49796,1,0.9998977,0.9997706651919207
24423,0,0.0033819957,0.008643614550912318
18400,1,0.9998233,0.9997868417256645
49426,0,0.00041207724,0.0009618994519423743
39279,0,2.8457547e-05,8.644112077342796e-05
9032,0,0.089446135,0.08500461903148766
55740,0,0.14621308,0.14967421244071166
12589,1,0.99975246,0.9997368961812855
6642,1,0.9998977,0.9997706651919207
43965,0,0.118930586,0.11168450599325999
18094,1,0.9998605,0.999762365904194
29111,0,0.11498797,0.0971497795401794
54229,1,0.9998771,0.9997257920616716
5406,0,0.0005618428,0.0008332575793945463
3895,1,0.9996081,0.9994868707210712
5147,0,0.06243285,0.07923054878756117
34042,0,0.003483982,0.004677623054744206
53495,1,0.9994319,0.999133763838274
4883,0,0.118165225,0.10944489030457367
53953,0,0.09360712,0.09654066262612715
27255,0,0.00303525,0.003495925907840546
59936,0,0.0010457106,0.0009236095350120154
36678,1,0.9977527,0.9976350588926052
43158,0,2.6982576e-05,8.494129047076353e-05
18698,1,0.4166885,0.3023956696342769
48965,1,0.9997857,0.9996106407728397
20412,0,2.8358962e-05,8.715427895746627e-05
42760,0,0.0046256855,0.006613034550040713
41773,1,0.9998771,0.9997257920616716
4613,0,0.24509129,0.234500722472096
