split,attack_category,row_count,split_rate
train,Benign,110161,0.7121588249744644
train,Bot,7041,0.04551801714440867
train,Brute Force -Web,342,0.002210930530235445
train,Brute Force -XSS,138,0.0008921298630774602
train,DDOS attack-HOIC,11369,0.0734972783574467
train,DDOS attack-LOIC-UDP,215,0.001389912467838072
train,DoS attacks-GoldenEye,10163,0.06570083911924803
train,DoS attacks-Hulk,962,0.0062190502049312806
train,DoS attacks-SlowHTTPTest,41,0.00026505307526214397
train,DoS attacks-Slowloris,2447,0.01581914329674308
train,FTP-BruteForce,34,0.00021980011119299744
train,Infilteration,11718,0.07575346185175129
train,SQL Injection,55,0.000355559003400437
validation,Benign,27143,0.7174045196246861
validation,Bot,1642,0.043398969208404914
validation,Brute Force -Web,93,0.0024580414959693405
validation,Brute Force -XSS,42,0.0011100832562442183
validation,DDOS attack-HOIC,2537,0.06705431478789481
validation,DDOS attack-LOIC-UDP,64,0.001691555438086428
validation,DoS attacks-GoldenEye,2506,0.0662349676225717
validation,DoS attacks-Hulk,223,0.005894013479582397
validation,DoS attacks-Slowloris,635,0.016783401612263778
validation,FTP-BruteForce,2,5.2861107440200875e-05
validation,Infilteration,2934,0.07754724461477468
validation,SQL Injection,14,0.0003700277520814061
holdout,Benign,33674,0.7187773485026361
holdout,Bot,2047,0.04369356869943862
holdout,Brute Force -Web,118,0.0025187303891225
holdout,Brute Force -XSS,47,0.0010032231210911652
holdout,DDOS attack-HOIC,3121,0.06661828427501121
holdout,DDOS attack-LOIC-UDP,75,0.0016008879591880296
holdout,DoS attacks-GoldenEye,3134,0.06689577152127046
holdout,DoS attacks-Hulk,290,0.006190100108860381
holdout,DoS attacks-Slowloris,750,0.016008879591880295
holdout,Infilteration,3582,0.0764584089308203
holdout,SQL Injection,11,0.00023479690068091102
