feature_index,feature_name,training_raw_mean,training_raw_std,training_raw_minimum,training_raw_maximum,training_scaled_mean,training_scaled_std,training_scaled_maximum_absolute,validation_raw_mean,validation_raw_std,validation_scaled_mean,validation_scaled_std,validation_scaled_maximum_absolute
0,Dst Port,13529.159801145546,21714.301029271228,0.0,65527.0,-5.918617818068128e-10,1.0,2.3946356773376465,13726.49583718779,21837.63853615442,0.009087835438549519,1.0056800842285156,2.393392324447632
1,Protocol,7.9826422559249055,4.429112008048879,0.0,17.0,-2.032058787904134e-08,0.9999999403953552,2.035928964614868,7.953799392097264,4.39932008555956,-0.006512128747999668,0.9932734966278076,2.035928964614868
2,Flow Duration,14171651.240273844,33104866.168511555,1.0,119999998.0,-2.959308909034064e-10,1.0,3.196761131286621,14463123.619637901,33407673.316687435,0.00880451686680317,1.0091469287872314,3.196760416030884
3,Tot Fwd Pkts,168.2084351525025,4443.226059105501,1.0,242760.0,1.1837235636136256e-09,1.0,54.598121643066406,196.01464252676092,4694.118573820883,0.0062581137754023075,1.0564662218093872,33.477882385253906
4,Tot Bwd Pkts,5.791720000517177,95.75937096476748,0.0,26355.0,-1.9728726985412948e-10,0.9999998807907104,275.1606140136719,6.186441125941588,126.43229167451847,0.00412201089784503,1.3203123807907104,225.68243408203125
5,TotLen Fwd Pkts,5901.285850044606,146684.77694760077,0.0,8737314.0,-1.3810108612233307e-09,1.0,59.52500915527344,6905.36178141932,156612.56428236587,0.006845125462859869,1.067681074142456,58.37511444091797
6,TotLen Bwd Pkts,3265.415221804171,135756.14786738943,0.0,38400000.0,3.9457453970825895e-10,0.9999999403953552,282.8360595703125,3752.5734372935112,181736.0886358607,0.003588479943573475,1.3386951684951782,231.74166870117188
7,Fwd Pkt Len Max,319.9622784220938,412.1371934252052,0.0,64440.0,-8.286065167339984e-09,1.0,155.579345703125,326.93487511563364,398.2656185032593,0.016918139532208443,0.9663423299789429,82.61335754394531
8,Fwd Pkt Len Min,10.267082993936103,39.66057174867577,0.0,1460.0,4.340319659235092e-09,1.0,36.553504943847656,10.459442315316506,42.667144569289526,0.004850144498050213,1.0758075714111328,36.553504943847656
9,Fwd Pkt Len Mean,78.7868212525401,90.45134968259171,0.0,16529.3138401559,-1.2231810231355666e-08,1.0,181.87155151367188,80.64990345691834,90.31372689030513,0.020597606897354126,0.9984785318374634,90.39298248291016
10,Fwd Pkt Len Std,130.3800352471742,161.16833772408526,0.0,18401.5827717299,-1.2231810231355666e-08,1.0,113.36719512939453,133.04320283138065,158.59976417294763,0.016524124890565872,0.9840628504753113,46.55588150024414
11,Bwd Pkt Len Max,384.49383266746827,475.90168681171536,0.0,11584.0,-2.3674471272272513e-09,1.0,23.533235549926758,393.9346901017576,479.21805536884324,0.01983782835304737,1.0069684982299805,8.320008277893066
12,Bwd Pkt Len Min,18.434615931629235,44.925166103273895,0.0,949.0,2.3674471272272513e-09,1.0,20.71367645263672,18.25817364873794,45.58014568262476,-0.003927470650523901,1.01457941532135,27.013042449951172
13,Bwd Pkt Len Mean,123.60636992256975,161.22510284790093,0.0,1955.963636,-2.3674471272272513e-09,1.0,11.36521053314209,126.7115255526116,166.43538879734197,0.019259748980402946,1.0323169231414795,10.566505432128906
14,Bwd Pkt Len Std,163.25357944755703,203.15848918085445,0.0,2316.3292799888,7.102341381681754e-09,1.0,10.598010063171387,166.9872437288779,204.09813774416057,0.01837809383869171,1.0046252012252808,9.070487022399902
15,Flow Byts/s,268165.73695611523,3712287.505029525,0.0,422631578.947368,1.5782981588330358e-09,1.0,113.7744369506836,338660.83970156766,4712184.304659246,0.018989667296409607,1.269347906112671,96.09488677978516
16,Flow Pkts/s,26963.674554420595,197866.98985406748,0.0166691137,3000000.0,-2.7620217224466614e-09,1.0,15.025428771972656,28149.245482271326,204680.93562619117,0.005991754122078419,1.0344369411468506,15.025428771972656
17,Flow IAT Mean,3299147.9661180465,12739782.864149034,0.5,119982384.0,4.932181885131115e-10,1.0,9.158966064453125,3277399.48850327,12613564.841814343,-0.001707130460999906,0.9900925159454346,9.156045913696289
18,Flow IAT Std,1576651.9312007616,5778012.23201606,0.0,83649152.5378194,-3.2552398554486217e-09,1.0,14.204279899597168,1578858.8714723194,5620954.143897863,0.00038195206434465945,0.9728179574012756,13.120648384094238
19,Flow IAT Max,6930978.771666473,17761810.96105416,1.0,119982384.0,4.932181885131115e-10,1.0,6.364858150482178,6977448.494594952,17697761.633829445,0.002616272307932377,0.9963940382003784,6.36584997177124
20,Flow IAT Min,2477704.945237449,12382348.469205474,0.0,119982384.0,1.2823672124184782e-09,1.0,9.489692687988281,2457708.69068323,12284117.903647862,-0.001614898326806724,0.9920669198036194,9.486687660217285
21,Fwd IAT Tot,13772183.49976727,33065920.56688241,0.0,120000000.0,1.4796545100281833e-09,1.0,3.2126071453094482,14071618.564794503,33390516.837299358,0.00905570201575756,1.0098166465759277,3.2126071453094482
22,Fwd IAT Mean,3972112.991072342,14578870.519069223,0.0,119982384.0,-3.1565963176660716e-09,1.0,7.957425117492676,3928298.459913127,14335309.479385076,-0.0030053474474698305,0.9832935333251953,7.9586334228515625
23,Fwd IAT Std,1362357.2429097241,3982830.90350275,0.0,84095115.5923256,-6.411836062092391e-10,1.0,20.772350311279297,1406902.5733600748,4105899.203012885,0.01118433941155672,1.0308997631072998,17.333812713623047
24,Fwd IAT Max,6701167.795909132,17702104.62831662,0.0,119982384.0,0.0,1.0,6.399307727813721,6742775.079503106,17654946.218950506,0.002350414637476206,0.9973360300064087,6.400302886962891
25,Fwd IAT Min,3127771.965058247,14537273.697679592,0.0,119982384.0,-5.918617818068128e-10,1.0,8.038275718688965,3050187.121527686,14281861.275060883,-0.005336960311979055,0.9824305176734924,8.0394868850708
26,Bwd IAT Tot,8247923.100565015,26820849.09993597,0.0,120000000.0,1.3020959421794487e-08,1.0,4.166612148284912,8472458.506515132,27169289.15836308,0.0083716856315732,1.0129914283752441,4.166612148284912
27,Bwd IAT Mean,1503400.445514176,8372602.395457082,0.0,119464319.0,-1.1837235636136256e-09,1.0,14.088919639587402,1536363.8295601318,8384573.014253226,0.003937051631510258,1.0014296770095825,14.152899742126465
28,Bwd IAT Std,1061911.9282132199,4106438.852131468,0.0,84356069.8143886,-6.559801590810821e-09,1.0,20.283794403076172,1103904.1649813661,4264197.280688904,0.01022594328969717,1.0384173393249512,16.909563064575195
29,Bwd IAT Max,3265354.722140336,12678323.775118522,0.0,119564005.0,-5.918617818068128e-10,1.0,9.173030853271484,3335710.4533368573,12809741.667197594,0.005549292545765638,1.0103654861450195,9.207419395446777
