source_file,raw_dataframe_index,feature_hash_uint64,authorized_split,raw_timestamp,parsed_timestamp
03-01-2018.csv,14,14947292286587925709,validation,01/03/2018 08:40:30,2018-03-01 08:40:30
03-01-2018.csv,23,10157764417988862850,train,01/03/2018 08:54:48,2018-03-01 08:54:48
03-01-2018.csv,39,9387205695373186001,train,01/03/2018 09:17:12,2018-03-01 09:17:12
03-01-2018.csv,46,4262366725530396900,validation,01/03/2018 09:29:26,2018-03-01 09:29:26
03-01-2018.csv,53,13671781848016100283,validation,01/03/2018 09:39:38,2018-03-01 09:39:38
03-01-2018.csv,54,2351362022685609826,train,01/03/2018 09:41:40,2018-03-01 09:41:40
03-01-2018.csv,58,17597287372068063378,train,01/03/2018 09:45:45,2018-03-01 09:45:45
03-01-2018.csv,70,3948400646346507855,validation,01/03/2018 10:01:00,2018-03-01 10:01:00
03-01-2018.csv,75,13135972407145268641,train,01/03/2018 10:08:08,2018-03-01 10:08:08
03-01-2018.csv,82,17597287372068063378,train,01/03/2018 10:20:25,2018-03-01 10:20:25
03-01-2018.csv,88,11446590080322150605,train,01/03/2018 10:30:37,2018-03-01 10:30:37
03-01-2018.csv,95,18081272091955434783,train,01/03/2018 10:40:48,2018-03-01 10:40:48
03-01-2018.csv,97,8930492235321529295,train,01/03/2018 10:16:48,2018-03-01 10:16:48
03-01-2018.csv,102,13275328602463307178,validation,01/03/2018 10:51:00,2018-03-01 10:51:00
03-01-2018.csv,103,17597287372068063378,train,01/03/2018 10:53:02,2018-03-01 10:53:02
03-01-2018.csv,106,588805513774855825,validation,01/03/2018 10:57:07,2018-03-01 10:57:07
03-01-2018.csv,114,2139173707158807857,train,01/03/2018 11:09:20,2018-03-01 11:09:20
03-01-2018.csv,124,12401236800253540267,train,01/03/2018 11:21:34,2018-03-01 11:21:34
03-01-2018.csv,127,2716866849867707948,train,01/03/2018 11:27:41,2018-03-01 11:27:41
03-01-2018.csv,128,17143548626870494793,train,01/03/2018 11:23:06,2018-03-01 11:23:06
03-01-2018.csv,134,17990500843921094957,train,01/03/2018 11:37:55,2018-03-01 11:37:55
03-01-2018.csv,135,2674665791243550015,train,01/03/2018 11:39:57,2018-03-01 11:39:57
03-01-2018.csv,147,2940814452635419086,validation,01/03/2018 11:56:16,2018-03-01 11:56:16
03-01-2018.csv,149,7147012419812856688,train,01/03/2018 12:00:20,2018-03-01 12:00:20
03-01-2018.csv,158,4262366725530396900,validation,01/03/2018 12:14:35,2018-03-01 12:14:35
03-01-2018.csv,171,12348861813665187844,train,01/03/2018 12:30:54,2018-03-01 12:30:54
03-01-2018.csv,172,2928226905069596454,train,01/03/2018 12:32:56,2018-03-01 12:32:56
03-01-2018.csv,173,4262366725530396900,validation,01/03/2018 12:34:58,2018-03-01 12:34:58
03-01-2018.csv,176,2702875958192324874,train,01/03/2018 12:39:02,2018-03-01 12:39:02
03-01-2018.csv,182,2483653658140770600,train,01/03/2018 12:47:12,2018-03-01 12:47:12
03-01-2018.csv,185,7221771740068940530,validation,01/03/2018 12:51:17,2018-03-01 12:51:17
03-01-2018.csv,186,9904550553969924545,train,01/03/2018 12:53:19,2018-03-01 12:53:19
03-01-2018.csv,194,2702875958192324874,train,01/03/2018 01:05:32,2018-03-01 01:05:32
03-01-2018.csv,195,1208150361515434482,validation,01/03/2018 01:07:34,2018-03-01 01:07:34
03-01-2018.csv,219,18413005975509529952,train,01/03/2018 01:42:13,2018-03-01 01:42:13
03-01-2018.csv,221,4819284101997819623,train,01/03/2018 01:16:48,2018-03-01 01:16:48
03-01-2018.csv,222,9195443432868724904,train,01/03/2018 01:40:44,2018-03-01 01:40:44
03-01-2018.csv,223,18413005975509529952,train,01/03/2018 01:46:17,2018-03-01 01:46:17
03-01-2018.csv,226,2351362022685609826,train,01/03/2018 01:52:24,2018-03-01 01:52:24
03-01-2018.csv,239,7057268961637231278,train,01/03/2018 02:12:48,2018-03-01 02:12:48
03-01-2018.csv,249,12348861813665187844,train,01/03/2018 02:25:05,2018-03-01 02:25:05
03-01-2018.csv,250,5466323714056429517,train,01/03/2018 02:21:48,2018-03-01 02:21:48
03-01-2018.csv,253,3978376367088469887,validation,01/03/2018 02:31:11,2018-03-01 02:31:11
03-01-2018.csv,256,15780805882280690132,train,01/03/2018 02:35:15,2018-03-01 02:35:15
03-01-2018.csv,265,485368145324538813,train,01/03/2018 02:47:29,2018-03-01 02:47:29
03-01-2018.csv,266,18091457375163213582,train,01/03/2018 02:49:31,2018-03-01 02:49:31
03-01-2018.csv,267,14047616922952026158,validation,01/03/2018 02:51:33,2018-03-01 02:51:33
03-01-2018.csv,270,7221771740068940530,validation,01/03/2018 02:55:37,2018-03-01 02:55:37
03-01-2018.csv,278,4262366725530396900,validation,01/03/2018 03:07:51,2018-03-01 03:07:51
03-01-2018.csv,279,7221771740068940530,validation,01/03/2018 03:09:53,2018-03-01 03:09:53
03-01-2018.csv,286,9904550553969924545,train,01/03/2018 03:18:02,2018-03-01 03:18:02
03-01-2018.csv,287,2940814452635419086,validation,01/03/2018 03:20:04,2018-03-01 03:20:04
03-01-2018.csv,293,12348861813665187844,train,01/03/2018 03:28:12,2018-03-01 03:28:12
03-01-2018.csv,295,17363129597473417579,train,01/03/2018 03:32:17,2018-03-01 03:32:17
03-01-2018.csv,299,17363129597473417579,train,01/03/2018 03:38:24,2018-03-01 03:38:24
03-01-2018.csv,300,12348861813665187844,train,01/03/2018 03:40:26,2018-03-01 03:40:26
03-01-2018.csv,312,3476794489582103512,validation,01/03/2018 03:56:43,2018-03-01 03:56:43
03-01-2018.csv,313,14947292286587925709,validation,01/03/2018 03:58:45,2018-03-01 03:58:45
03-01-2018.csv,314,18413005975509529952,train,01/03/2018 04:00:47,2018-03-01 04:00:47
03-01-2018.csv,328,11336705268441145169,train,01/03/2018 04:19:07,2018-03-01 04:19:07
03-01-2018.csv,333,2351362022685609826,train,01/03/2018 04:27:15,2018-03-01 04:27:15
03-01-2018.csv,334,18413005975509529952,train,01/03/2018 04:29:17,2018-03-01 04:29:17
03-01-2018.csv,337,2139173707158807857,train,01/03/2018 04:33:21,2018-03-01 04:33:21
03-01-2018.csv,342,201538985268551695,train,01/03/2018 04:41:29,2018-03-01 04:41:29
03-01-2018.csv,347,6852774188331385196,train,01/03/2018 04:47:36,2018-03-01 04:47:36
03-01-2018.csv,357,3476794489582103512,validation,01/03/2018 05:03:57,2018-03-01 05:03:57
03-01-2018.csv,360,12348861813665187844,train,01/03/2018 05:08:02,2018-03-01 05:08:02
03-01-2018.csv,362,10450161153504455212,validation,01/03/2018 05:12:07,2018-03-01 05:12:07
03-01-2018.csv,365,1466163880782779365,train,01/03/2018 04:46:48,2018-03-01 04:46:48
03-01-2018.csv,369,7222800953323532731,train,01/03/2018 05:14:41,2018-03-01 05:14:41
03-01-2018.csv,373,10258975062051238770,validation,01/03/2018 05:21:26,2018-03-01 05:21:26
03-01-2018.csv,378,13845081825730692974,validation,01/03/2018 02:16:48,2018-03-01 02:16:48
03-01-2018.csv,380,9409845263065415435,train,01/03/2018 02:46:49,2018-03-01 02:46:49
03-01-2018.csv,383,682167846197399453,train,01/03/2018 11:16:47,2018-03-01 11:16:47
03-01-2018.csv,390,18081272091955434783,train,01/03/2018 05:28:27,2018-03-01 05:28:27
03-01-2018.csv,398,1907880799028911478,train,01/03/2018 02:16:52,2018-03-01 02:16:52
03-01-2018.csv,406,4992128801474291851,train,01/03/2018 11:16:51,2018-03-01 11:16:51
03-01-2018.csv,410,2155312427447038994,train,01/03/2018 04:16:51,2018-03-01 04:16:51
03-01-2018.csv,423,5302505392741556566,train,01/03/2018 08:16:50,2018-03-01 08:16:50
03-01-2018.csv,438,10253704889457392304,train,01/03/2018 08:17:32,2018-03-01 08:17:32
03-01-2018.csv,446,14098112945019758845,train,01/03/2018 08:21:12,2018-03-01 08:21:12
03-01-2018.csv,449,8866706659248778430,train,01/03/2018 08:21:13,2018-03-01 08:21:13
03-01-2018.csv,456,5129090184785999607,train,01/03/2018 08:21:16,2018-03-01 08:21:16
03-01-2018.csv,461,4928930191737493979,validation,01/03/2018 08:21:12,2018-03-01 08:21:12
03-01-2018.csv,464,9270173068126819807,train,01/03/2018 08:21:13,2018-03-01 08:21:13
03-01-2018.csv,467,14714585128835241255,train,01/03/2018 08:21:18,2018-03-01 08:21:18
03-01-2018.csv,473,16385690366308660134,validation,01/03/2018 08:21:27,2018-03-01 08:21:27
03-01-2018.csv,480,9829959234644696387,validation,01/03/2018 08:21:12,2018-03-01 08:21:12
03-01-2018.csv,481,3988236801256550385,train,01/03/2018 08:21:12,2018-03-01 08:21:12
03-01-2018.csv,483,6273731974356952721,validation,01/03/2018 08:21:14,2018-03-01 08:21:14
03-01-2018.csv,485,4508068403239282394,train,01/03/2018 08:21:12,2018-03-01 08:21:12
03-01-2018.csv,491,8347475498698946781,train,01/03/2018 08:21:11,2018-03-01 08:21:11
03-01-2018.csv,502,413306807728737512,train,01/03/2018 08:24:02,2018-03-01 08:24:02
03-01-2018.csv,512,4202785814170395726,validation,01/03/2018 08:24:52,2018-03-01 08:24:52
03-01-2018.csv,513,10446284392144960885,train,01/03/2018 08:23:16,2018-03-01 08:23:16
