source_file,raw_column_count,frozen_feature_count,matched_frozen_features,missing_frozen_features,schema_coverage_rate,normalization_collision_count,missing_feature_names,metadata_columns_present,extra_raw_column_count,extra_raw_columns
02-14-2018.csv,80,70,70,0,1.0,0,,Timestamp | Label,10,Timestamp | Bwd PSH Flags | Bwd URG Flags | Fwd Byts/b Avg | Fwd Pkts/b Avg | Fwd Blk Rate Avg | Bwd Byts/b Avg | Bwd Pkts/b Avg | Bwd Blk Rate Avg | Label
02-15-2018.csv,80,70,70,0,1.0,0,,Timestamp | Label,10,Timestamp | Bwd PSH Flags | Bwd URG Flags | Fwd Byts/b Avg | Fwd Pkts/b Avg | Fwd Blk Rate Avg | Bwd Byts/b Avg | Bwd Pkts/b Avg | Bwd Blk Rate Avg | Label
02-16-2018.csv,80,70,70,0,1.0,0,,Timestamp | Label,10,Timestamp | Bwd PSH Flags | Bwd URG Flags | Fwd Byts/b Avg | Fwd Pkts/b Avg | Fwd Blk Rate Avg | Bwd Byts/b Avg | Bwd Pkts/b Avg | Bwd Blk Rate Avg | Label
02-20-2018.csv,84,70,70,0,1.0,0,,Flow ID | Src IP | Src Port | Dst IP | Timestamp | Label,14,Flow ID | Src IP | Src Port | Dst IP | Timestamp | Bwd PSH Flags | Bwd URG Flags | Fwd Byts/b Avg | Fwd Pkts/b Avg | Fwd Blk Rate Avg | Bwd Byts/b Avg | Bwd Pkts/b Avg | Bwd Blk Rate Avg | Label
02-21-2018.csv,80,70,70,0,1.0,0,,Timestamp | Label,10,Timestamp | Bwd PSH Flags | Bwd URG Flags | Fwd Byts/b Avg | Fwd Pkts/b Avg | Fwd Blk Rate Avg | Bwd Byts/b Avg | Bwd Pkts/b Avg | Bwd Blk Rate Avg | Label
02-22-2018.csv,80,70,70,0,1.0,0,,Timestamp | Label,10,Timestamp | Bwd PSH Flags | Bwd URG Flags | Fwd Byts/b Avg | Fwd Pkts/b Avg | Fwd Blk Rate Avg | Bwd Byts/b Avg | Bwd Pkts/b Avg | Bwd Blk Rate Avg | Label
02-23-2018.csv,80,70,70,0,1.0,0,,Timestamp | Label,10,Timestamp | Bwd PSH Flags | Bwd URG Flags | Fwd Byts/b Avg | Fwd Pkts/b Avg | Fwd Blk Rate Avg | Bwd Byts/b Avg | Bwd Pkts/b Avg | Bwd Blk Rate Avg | Label
02-28-2018.csv,80,70,70,0,1.0,0,,Timestamp | Label,10,Timestamp | Bwd PSH Flags | Bwd URG Flags | Fwd Byts/b Avg | Fwd Pkts/b Avg | Fwd Blk Rate Avg | Bwd Byts/b Avg | Bwd Pkts/b Avg | Bwd Blk Rate Avg | Label
03-01-2018.csv,80,70,70,0,1.0,0,,Timestamp | Label,10,Timestamp | Bwd PSH Flags | Bwd URG Flags | Fwd Byts/b Avg | Fwd Pkts/b Avg | Fwd Blk Rate Avg | Bwd Byts/b Avg | Bwd Pkts/b Avg | Bwd Blk Rate Avg | Label
03-02-2018.csv,80,70,70,0,1.0,0,,Timestamp | Label,10,Timestamp | Bwd PSH Flags | Bwd URG Flags | Fwd Byts/b Avg | Fwd Pkts/b Avg | Fwd Blk Rate Avg | Bwd Byts/b Avg | Bwd Pkts/b Avg | Bwd Blk Rate Avg | Label
