direction,comparison,metric,point_difference,ci_2_5,ci_97_5,ci_excludes_zero,replicates,seed
IDS2018 -> CICIDS2017,bridge70 PUBLISHED - bridge62 PUBLISHED,PR_AUC,-0.0035016258686501045,-0.0038560981271429347,-0.0031516826947989855,True,2000,42
IDS2018 -> CICIDS2017,bridge70 PUBLISHED - bridge62 PUBLISHED,ROC_AUC,0.007945042207820885,0.007793154614955148,0.008095808702662407,True,2000,42
IDS2018 -> CICIDS2017,bridge70 PUBLISHED - bridge62 PUBLISHED,BRIER,-0.002843907158256026,-0.0029149364091674455,-0.0027662019449872497,True,2000,42
IDS2018 -> CICIDS2017,bridge70 FLAG_CORRECTED - bridge62 FLAG_CORRECTED,PR_AUC,-0.011230350446954196,-0.011618514661808771,-0.010858425491071225,True,2000,42
IDS2018 -> CICIDS2017,bridge70 FLAG_CORRECTED - bridge62 FLAG_CORRECTED,ROC_AUC,0.010136935922385515,0.00998113569056219,0.010302578977685625,True,2000,42
IDS2018 -> CICIDS2017,bridge70 FLAG_CORRECTED - bridge62 FLAG_CORRECTED,BRIER,0.002242676211361594,0.002152832903951,0.0023357401318126886,True,2000,42
IDS2018 -> CICIDS2017,bridge70 FLAG_CORRECTED - bridge70 PUBLISHED,PR_AUC,-0.007728724578304091,-0.007920533620796666,-0.007533628438638493,True,2000,42
IDS2018 -> CICIDS2017,bridge70 FLAG_CORRECTED - bridge70 PUBLISHED,ROC_AUC,0.00219189371456463,0.002138781705090112,0.0022460019481922834,True,2000,42
IDS2018 -> CICIDS2017,bridge70 FLAG_CORRECTED - bridge70 PUBLISHED,BRIER,0.00508658336961762,0.005023235150538882,0.005151859409384719,True,2000,42
CICIDS2017 -> IDS2018,bridge70 - bridge62,PR_AUC,-0.0007567819596534242,-0.0010581433187110121,-0.0004346707415334235,True,2000,42
CICIDS2017 -> IDS2018,bridge70 - bridge62,ROC_AUC,0.00013544747358129605,-0.0008996249242140846,0.0012627923717139042,False,2000,42
CICIDS2017 -> IDS2018,bridge70 - bridge62,BRIER,-0.00010611813284094884,-0.00012429005268036267,-8.894247671756873e-05,True,2000,42
