case_id,model,model_display,selected_outcome,holdout_position,original_row_index,y_true,attack_category,feature_index,feature_name,raw_feature_value,scaled_feature_value,attribution,absolute_attribution,absolute_rank,is_top10,reference_attribution_mean,reference_attribution_std,reference_attribution_minimum,reference_attribution_maximum,positive_reference_fraction,negative_reference_fraction,zero_reference_fraction,reference_sign_consistency,feature_reference_stability,attribution_direction,reference_reliability_class,recommended_reporting_role
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,0,Dst Port,8080.0,-0.1534778773784637,0.5998095464846465,0.5998095464846465,5,True,0.5998095464846463,0.7176972885512415,-0.0386463425628062,2.071256121155082,0.875,0.125,0.0,0.875,Reference-stable direction,Increases attack logit,Moderately reference-stable,Present only with explicit reference-sensitivity caveat
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,2,Flow Duration,14041.0,-0.3766815364360809,0.3084053573738352,0.3084053573738352,9,True,0.3084053573738352,0.6094065227499929,-0.0004381126052247,1.9874523941447992,0.625,0.375,0.0,0.625,Reference-sensitive direction,Increases attack logit,Moderately reference-stable,Present only with explicit reference-sensitivity caveat
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,7,Fwd Pkt Len Max,0.0,-0.6599207520484924,0.9140683369200848,0.9140683369200848,2,True,0.9140683369200848,1.7554968127982729,-1.2127475393075624,4.566026195176672,0.6875,0.125,0.1875,0.6875,Moderately stable direction,Increases attack logit,Moderately reference-stable,Present only with explicit reference-sensitivity caveat
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,10,Fwd Pkt Len Std,0.0,-0.6824519038200378,-0.5455507483015717,0.5455507483015717,6,True,-0.5455507483015717,1.1011499863989167,-4.3793577226453,0.2897887703455079,0.15625,0.53125,0.3125,0.53125,Reference-sensitive direction,Decreases attack logit,Moderately reference-stable,Present only with explicit reference-sensitivity caveat
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,11,Bwd Pkt Len Max,112.0,-0.43702232837677,0.4339210250798902,0.4339210250798902,8,True,0.4339210250798902,0.6500449897139127,-0.0625656006962983,2.477439586896492,0.75,0.25,0.0,0.75,Reference-stable direction,Increases attack logit,Moderately reference-stable,Present only with explicit reference-sensitivity caveat
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,14,Bwd Pkt Len Std,33.64547788,-0.5043004751205444,-0.472533894407276,0.472533894407276,7,True,-0.4725338944072761,0.9632053082168096,-3.7937300834640286,0.3368948531206161,0.375,0.625,0.0,0.625,Reference-sensitive direction,Decreases attack logit,Moderately reference-stable,Present only with explicit reference-sensitivity caveat
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,40,Pkt Len Max,112.0,-0.5532856583595276,0.2930129475370484,0.2930129475370484,10,True,0.2930129475370484,0.3446793862143811,-0.1462388088414299,1.031454083328489,0.875,0.125,0.0,0.875,Reference-stable direction,Increases attack logit,Moderately reference-stable,Present only with explicit reference-sensitivity caveat
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,46,RST Flag Cnt,1.0,1.9163296222686768,0.6635176646047249,0.6635176646047249,3,True,0.6635176646047247,0.7159645258657376,0.0,2.23654097039267,0.625,0.0,0.375,0.625,Reference-sensitive direction,Increases attack logit,Moderately reference-stable,Present only with explicit reference-sensitivity caveat
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,52,Down/Up Ratio,5.0,4.748593807220459,1.2441565653166005,1.2441565653166005,1,True,1.244156565316601,1.525349816533679,-1.1013146114649732,4.727600821078323,0.6875,0.3125,0.0,0.6875,Moderately stable direction,Increases attack logit,Moderately reference-stable,Present only with explicit reference-sensitivity caveat
CNN_FN_01,cnn,CNN,FN,20087,116825,1,Bot,53,Pkt Size Avg,9.923076923,-0.7236273884773254,0.6250557584964604,0.6250557584964604,4,True,0.6250557584964604,0.7240633951462556,-0.0815195425951793,2.664649487859032,0.8125,0.1875,0.0,0.8125,Reference-stable direction,Increases attack logit,Moderately reference-stable,Present only with explicit reference-sensitivity caveat
CNN_FN_02,cnn,CNN,FN,33027,52627,1,Infilteration,11,Bwd Pkt Len Max,1430.0,2.475555896759033,-0.7087937689447654,0.7087937689447654,6,True,-0.7087937689447653,0.5322574257507914,-2.196617599064512,0.0298453367705647,0.09375,0.90625,0.0,0.90625,Reference-stable direction,Decreases attack logit,Moderately reference-stable,Present only with explicit reference-sensitivity caveat
CNN_FN_02,cnn,CNN,FN,33027,52627,1,Infilteration,18,Flow IAT Std,13000000.0,2.23520565032959,0.6660892430460206,0.6660892430460206,7,True,0.6660892430460206,0.3515644372154901,-0.0967583866671339,1.2907288448799197,0.96875,0.03125,0.0,0.96875,Reference-stable direction,Increases attack logit,Moderately reference-stable,Present only with explicit reference-sensitivity caveat
CNN_FN_02,cnn,CNN,FN,33027,52627,1,Infilteration,19,Flow IAT Max,58900000.0,3.294372320175171,0.5237753804554387,0.5237753804554387,9,True,0.5237753804554387,0.5573171605816778,-0.3790728649847822,1.5467404967655247,0.875,0.125,0.0,0.875,Reference-stable direction,Increases attack logit,Moderately reference-stable,Present only with explicit reference-sensitivity caveat
