path,bytes,sha256
README.md,418,89146bb759848f9d4cb47d94858ce874e2a59e41522c98bea1b216de73d9b095
figures/F26_CAPACITY_SCALING.pdf,33416,2b3b46fb4692ed5c416d826ae244bd793b4694f3b4dc005ee849bbcd2a81416e
figures/F26_CAPACITY_SCALING.png,299399,8af7349fff2c2c5086270e716af630b925fb5a51ecd0e892d829d66a3b6019b6
figures/F26_COLD_START.pdf,27517,94165528d7a0ed07c793a37d7f9473e828489a8b04303ba240476f6d28e7dba4
figures/F26_COLD_START.png,283476,f8bb2c73bfdd3264d29f30a90ee2f4a8f8c370c049d37390b2f18727868ad2b4
figures/F26_COMPONENT_BOUNDARY.pdf,19251,ca4eb39aaac0fbba026e598a9ad882944421956fb8213ce2e5e75c77c51f8668
figures/F26_COMPONENT_BOUNDARY.png,220335,8adcc9e4be6ff1640a4e55739471ed706c294dbb566cf89cbc63c7adf193812a
figures/F26_CPU1_GPU_P95_SPEEDUP.pdf,22587,a5fa474c6d260521b793e2c380166448e4eb7c055d3b93920601f18b865c44c5
figures/F26_CPU1_GPU_P95_SPEEDUP.png,203588,a5b23cd1513d21798cad7cf1aef3c85e974bbe8086b6d1a868125d2b05b4ced7
figures/F26_GPU_DELTA_PEAK_MEMORY.pdf,24477,55dae00f6eb49ed0c136832a383c9595dbd1790e0c98a986eab901656966ab8b
figures/F26_GPU_DELTA_PEAK_MEMORY.png,210207,b5848e0b9bed6c5393feec835c51c120a77bcb8bb7fa0ef1f60ecff10afab24b
figures/F26_MEMORY_PACKAGE.pdf,56196,55b17b50a8663d0a7480e6277cbe0d1beb5369918b5deac2c6e0ab2b1da1395d
figures/F26_MEMORY_PACKAGE.png,743407,23564f5af6d251a5c8252c92b9e8df0c6ba3280912dbcb7c36eee21f63a8fe3a
figures/F26_PARETO.pdf,21005,2677ad0da3bfe859651abff9c232a877d044d8fb894b504748fac77fc4a315d9
figures/F26_PARETO.png,193245,e73c4e8c6fefd7e8135e9da2f8f165d34a92abb5f42c201ff71b0c40db068be0
figures/F26_REPRESENTATION_SENSITIVITY.pdf,17056,794fae16b03cde39f9308890034eac366238391af758cda9ef64b035fb50c33f
figures/F26_REPRESENTATION_SENSITIVITY.png,194130,ee82461f8735b0f195ab2af53f2dae4b1943e5d11f6fe6e98f9d0340c74afc1d
figures/F26_WARM_LATENCY.pdf,41550,22bbcb7f75f311aec97a8a8950a6971c2dd07945d0807b7d78996622086a2d00
figures/F26_WARM_LATENCY.png,342808,c3d5e615fee98f04afbda5aee966f9009b4245edce176d87c4312b6dff1aa465
figures/F26_WARM_THROUGHPUT.pdf,31020,88936c30d70a81d264e79c9a1b4611eb42ae16e32c2a3a0420e9dab519e94b0e
figures/F26_WARM_THROUGHPUT.png,226139,d8daa9598f92c2019f1809e81f7edf5985a7026b132c34962983bc4ca3d6c0d5
manuscript_support/STAGE26_MANUSCRIPT_INTEGRATION.md,2425,c019d6009d7f05abaf416e0a1e451272aaaecf60e88fe35c6bedb7bf5af389d3
manuscript_support/STAGE26_PUBLICATION_CLOSEOUT.md,1946,d312d1adee9b194d359a31d895693e8422e759c2b8a4c040a14d5654416b5f07
manuscript_support/stage26_claim_traceability.csv,1780,f675537ae869493d9a7aa914ac7bdf223e107fd9db150e222599a0b1652291c4
manuscript_support/stage26_deployment_claim_traceability.csv,1288,27283b480aad3e07be5cc734745068874c81f46046ecbfbd5eb104703ef9da80
manuscript_support/stage26_deployment_ieee_ready_narrative.md,6070,4afbec8b86631b9b9eb42a31927bab5535d5f83b1f1275bfd992e46c986c75f5
manuscript_support/stage26_deployment_manuscript_asset_map.csv,745,0d392222634b933ed0a3f202db06c8f63040e7c9d0776f3fdbfe85ba2d8cb494
manuscript_support/stage26_manuscript_asset_plan.csv,778,f6a207df19b85b0918275cc613f71aad23e7dde1152e0bd77983c7a7fff48509
manuscript_support/stage26_results_deployment_discussion_draft.md,11008,eb4c5776fb5de0579c325c530e4bfc21ef8ff82057ceea2bf32b9496de96418a
tables/T26_COMPONENT_MEASUREMENTS.csv,1232,dd4dedfe595e2cc29f1eb44c97d66f2c9b8d58d7c5924cafb9129be11ce76d67
tables/T26_CPU1_GPU_BATCH1_ANCHOR.csv,3694,cc3479a5dadf897fa8beb5eddc2a05ea7e4ed9548e7e7efe0aecc04f09efcfc8
tables/T26_CPU1_GPU_MATCHED_COMPARISON.csv,13727,24cbd9a22ad58b85782485a0c08109a7606429b8fc09674056ab7c9cf29edc3b
tables/T26_CPU_CAPACITY_SCALING.csv,5127,a5beda3df22ad701f2910e13201ba689788b667f02507cf64739c3bc225fc41e
tables/T26_CPU_COLD_START.csv,7076,9d822632c93233e48113795f04c4e646fe0f330f10248fd7e12f8742b1b77803
tables/T26_CPU_MEMORY_PACKAGE.csv,56640,1daa8aa64288bd06fa93ed485dfc696751ef7a0927ef4fe9c8802b4c56c0a458
tables/T26_CPU_WARM_INFERENCE.csv,18965,d664feca94308ea544506df7ef5c997bc4486f457153abfc1959db36808cfaad
tables/T26_GPU_BACKEND_RESOURCE_STATUS.csv,1077,3f6922821b4d3f01ff8b84405584acea0d8270a5dba7f4402aaa7ee1fafc9ade
tables/T26_GPU_WARM_INFERENCE_MEMORY.csv,19232,fd16546ba1b2b4130fc2fdff7095302e38a015770feed1965a4d7df8e4ff8597
tables/T26_GROUP_B_REPRESENTATION_INFERENCE_RATIO.csv,847,a29b334c2287edf4e02712bb4dfdc737a326fde4847fd9f1dcfadb7b83299f69
tables/T26_PARETO.csv,650,7d9f7c804bcb99c7d9307689c60442bd3a7c88ea84552c7f49863016705d3200
tables/T26_REPRESENTATION_SENSITIVITY.csv,1366,898b386c6a6a1432383386195b611ddadb7eb587698fc095b8df632f9197ee66
