"stage","substage","scientific_role","notebook_source","notebook_cells","script_source","historical_execution_source","frozen_result_path","commit_sha","canonical_reproduction_source","status","notes"
"Stage25","Stage25-0/0-R1","Zero-fit protocol lock and recovery","notebooks/archive/stage25_prevalence_operational_stress_executed.ipynb","2-3","scripts/stage25/stage25_prevalence_operational_stress.py","executed notebook; exact script cells","results/stage25_prevalence_stress/stage25_0_protocol_lock","988fc5dd85018659749466ad9f8a1efcd5723ca9","script plus executed notebook and frozen lock","NOTEBOOK_PLUS_SCRIPT","Repository script cells 1-2 equal supplied cells 2-3; generic supplied cell 1 is not scientific."
"Stage25","Stage25-1","Bayesian prevalence projection","notebooks/archive/stage25_prevalence_operational_stress_executed.ipynb","4","scripts/stage25/stage25_prevalence_operational_stress.py","executed notebook; exact script cell","results/stage25_prevalence_stress/stage25_1_bayesian_projection","bfcc41741e055356c82f8f2f04042f3c2556b090","script formula implementation plus frozen scalar inputs/results","NOTEBOOK_PLUS_SCRIPT","Zero fit and inference; deterministic scalar formulas only."
"Stage25","Stage25-2","Traffic-volume and SOC-capacity projection","notebooks/archive/stage25_prevalence_operational_stress_executed.ipynb","5","scripts/stage25/stage25_prevalence_operational_stress.py","executed notebook; exact script cell","results/stage25_prevalence_stress/stage25_2_traffic_soc_capacity","e905a490aa6b7fdd3c22b021b11de270c9b57784","script formula implementation plus frozen scalar inputs/results","NOTEBOOK_PLUS_SCRIPT","Fixed benign volume and analyst-capacity assumptions are protocol data, not tunable parameters."
"Stage25","Stage25-3","Exact PPV, cost and capacity break-even analysis","notebooks/archive/stage25_prevalence_operational_stress_executed.ipynb","6","scripts/stage25/stage25_prevalence_operational_stress.py","executed notebook; exact script cell","results/stage25_prevalence_stress/stage25_3_break_even_analysis","5d1f9b2437ed7731f375acf01667c0faac57494e","script exact equations plus frozen tables","NOTEBOOK_PLUS_SCRIPT","No probability arrays or targets are required."
"Stage25","Stage25-4","Benchmark-to-operational translation and figures","notebooks/archive/stage25_prevalence_operational_stress_executed.ipynb","7","scripts/stage25/stage25_prevalence_operational_stress.py","executed notebook; exact script cell","results/stage25_prevalence_stress/stage25_4_benchmark_operational_translation; figures/stage25_prevalence_stress","7820b9865a08f78107673207480c54d8dd0fe3eb","script plus frozen translation tables and figure manifest","NOTEBOOK_PLUS_SCRIPT","No later manuscript interpretation is imported into the historical method."
"Stage25","Stage25-5/PUB","Final sanity audit, seal and publication package","notebooks/archive/stage25_prevalence_operational_stress_executed.ipynb","8","scripts/stage25/stage25_prevalence_operational_stress.py","executed notebook; exact script cell","results/stage25_prevalence_stress/stage25_5_final_audit_and_seal; results/stage25_prevalence_stress/stage25_publication_package","f9307d5f7a4c8fd53886d66b3e5f8e74a65d87c6","frozen audit, manifests and exact script cell","NOTEBOOK_PLUS_SCRIPT","Final row counts and seven sanity semantics are closed."
"Stage26","Stage26-0/0D","Deployment protocol, artifact inventory and CPU preflight","notebooks/archive/stage26_deployment_profiling_executed.ipynb","2-10","scripts/stage26/stage26_deployment_profiling_kaggle.py","executed notebook; archival Kaggle virtual-source export","results/stage26_deployment_profiling/stage26_0_protocol_lock; results/stage26_deployment_profiling/stage26_0d_cpu_preflight","f3957b964e659392c57d1b12881163288f2efedc","executed notebook plus frozen protocol and preflight receipts","NOTEBOOK_CANONICAL","Virtual-source export is ARCHIVAL_ONLY and not guaranteed to compile."
"Stage26","Stage26-1","CPU cold-start profiling","notebooks/archive/stage26_deployment_profiling_executed.ipynb","11-12","scripts/stage26/stage26_deployment_profiling_kaggle.py","executed notebook outputs and raw historical observations","results/stage26_deployment_profiling/stage26_1_cpu_cold_start","46379b6d036008db4d60b056a66f4c01383e3298","notebook plus frozen raw observations and receipt","NOTEBOOK_CANONICAL","Measurement method is reproducible; milliseconds are archival and hardware-specific."
"Stage26","Stage26-2","Warm CPU latency and throughput","notebooks/archive/stage26_deployment_profiling_executed.ipynb","13-17","scripts/stage26/stage26_deployment_profiling_kaggle.py","executed notebook outputs and recovery chronology","results/stage26_deployment_profiling/stage26_2_cpu_warm_inference","7ffdba3f4ca4ea5cc53097d62aaf27957009b9f6","notebook plus frozen raw observations and manifests","NOTEBOOK_CANONICAL","No timing loop may be rerun during reproducibility verification."
"Stage26","Stage26-3A/3B","Memory, model and deployment-package footprint","notebooks/archive/stage26_deployment_profiling_executed.ipynb","18-21","scripts/stage26/stage26_deployment_profiling_kaggle.py","executed notebook and frozen observation package","results/stage26_deployment_profiling/stage26_3a_memory_implementation_lock; results/stage26_deployment_profiling/stage26_3b_cpu_memory_profile","347d93f21d454cc5bda2c45889c890c67cdf0ecc","frozen implementation lock, observations and package inventory","NOTEBOOK_CANONICAL","Model/package bytes can be hashed; memory profiling cannot be rerun."
