split,clean_position,binary_label
RANDOM_NATURAL,21,0
RANDOM_NATURAL,221,1
RANDOM_NATURAL,498,1
RANDOM_NATURAL,547,1
RANDOM_NATURAL,801,1
RANDOM_NATURAL,1058,1
RANDOM_NATURAL,1107,1
RANDOM_NATURAL,1258,1
RANDOM_NATURAL,1788,1
RANDOM_NATURAL,2400,1
RANDOM_NATURAL,2773,1
RANDOM_NATURAL,3048,1
RANDOM_NATURAL,3136,1
RANDOM_NATURAL,3592,1
RANDOM_NATURAL,3613,1
RANDOM_NATURAL,3908,1
RANDOM_NATURAL,3985,1
RANDOM_NATURAL,4347,1
RANDOM_NATURAL,4474,1
RANDOM_NATURAL,4624,1
RANDOM_NATURAL,6409,1
RANDOM_NATURAL,7194,1
RANDOM_NATURAL,7263,1
RANDOM_NATURAL,7639,1
RANDOM_NATURAL,7867,1
RANDOM_NATURAL,8420,1
RANDOM_NATURAL,8486,1
RANDOM_NATURAL,8565,1
RANDOM_NATURAL,8596,1
RANDOM_NATURAL,9212,1
RANDOM_NATURAL,9418,1
RANDOM_NATURAL,9833,1
RANDOM_NATURAL,10005,1
RANDOM_NATURAL,10605,1
RANDOM_NATURAL,10651,1
RANDOM_NATURAL,11260,1
RANDOM_NATURAL,11725,1
RANDOM_NATURAL,11751,1
RANDOM_NATURAL,11994,1
RANDOM_NATURAL,12167,1
RANDOM_NATURAL,12550,1
RANDOM_NATURAL,12606,1
RANDOM_NATURAL,13309,1
RANDOM_NATURAL,13323,1
RANDOM_NATURAL,13347,1
RANDOM_NATURAL,13702,1
RANDOM_NATURAL,14013,1
RANDOM_NATURAL,14383,1
RANDOM_NATURAL,14637,1
RANDOM_NATURAL,14758,1
RANDOM_NATURAL,14803,1
RANDOM_NATURAL,14930,1
RANDOM_NATURAL,15253,1
RANDOM_NATURAL,15269,1
RANDOM_NATURAL,15815,1
RANDOM_NATURAL,15842,1
RANDOM_NATURAL,15893,1
RANDOM_NATURAL,16915,1
RANDOM_NATURAL,17166,1
RANDOM_NATURAL,17411,1
RANDOM_NATURAL,18421,1
RANDOM_NATURAL,18763,1
RANDOM_NATURAL,18959,1
RANDOM_NATURAL,19177,1
RANDOM_NATURAL,19238,1
RANDOM_NATURAL,19295,1
RANDOM_NATURAL,19531,1
RANDOM_NATURAL,19558,1
RANDOM_NATURAL,19980,1
RANDOM_NATURAL,20271,1
RANDOM_NATURAL,20335,1
RANDOM_NATURAL,20669,1
RANDOM_NATURAL,20964,1
RANDOM_NATURAL,20993,1
RANDOM_NATURAL,21257,1
RANDOM_NATURAL,21381,1
RANDOM_NATURAL,21554,1
RANDOM_NATURAL,21818,1
RANDOM_NATURAL,21858,1
RANDOM_NATURAL,21877,1
RANDOM_NATURAL,22005,1
RANDOM_NATURAL,22310,1
RANDOM_NATURAL,22402,1
RANDOM_NATURAL,22641,1
RANDOM_NATURAL,22706,1
RANDOM_NATURAL,22973,1
RANDOM_NATURAL,23238,1
RANDOM_NATURAL,23349,1
RANDOM_NATURAL,23488,1
RANDOM_NATURAL,23548,1
RANDOM_NATURAL,23904,1
RANDOM_NATURAL,24173,1
RANDOM_NATURAL,24517,1
RANDOM_NATURAL,24578,1
RANDOM_NATURAL,24822,1
RANDOM_NATURAL,24833,1
RANDOM_NATURAL,25228,1
RANDOM_NATURAL,25361,1
RANDOM_NATURAL,25522,1
RANDOM_NATURAL,25564,1
RANDOM_NATURAL,25715,1
RANDOM_NATURAL,25776,1
RANDOM_NATURAL,25849,1
RANDOM_NATURAL,26689,1
RANDOM_NATURAL,26715,1
RANDOM_NATURAL,27688,1
RANDOM_NATURAL,27774,1
RANDOM_NATURAL,27960,1
RANDOM_NATURAL,27982,1
RANDOM_NATURAL,28085,1
RANDOM_NATURAL,28350,1
RANDOM_NATURAL,28880,1
RANDOM_NATURAL,29317,1
RANDOM_NATURAL,29368,1
RANDOM_NATURAL,29537,1
RANDOM_NATURAL,30281,1
RANDOM_NATURAL,31300,1
RANDOM_NATURAL,31506,1
RANDOM_NATURAL,31659,1
RANDOM_NATURAL,32638,1
RANDOM_NATURAL,32690,1
RANDOM_NATURAL,32859,1
RANDOM_NATURAL,33426,1
RANDOM_NATURAL,33708,1
RANDOM_NATURAL,33728,1
RANDOM_NATURAL,33975,1
RANDOM_NATURAL,34003,1
RANDOM_NATURAL,34086,1
RANDOM_NATURAL,34125,1
RANDOM_NATURAL,34362,1
RANDOM_NATURAL,34404,1
RANDOM_NATURAL,34411,1
RANDOM_NATURAL,34767,1
